Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
TEXTILE CENTRE,200 Jalan Sultan  #03-10 ,73,Strata,410000,5616,522,04-MAY-2010,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
FU LU SHOU COMPLEX,149 Rochor Road  #03-19 ,29,Strata,438000,15103,1403,03-MAY-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
FU LU SHOU COMPLEX,149 Rochor Road  #03-20 ,29,Strata,434888,14996,1393,03-MAY-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #01-46 ,69,Strata,820000,11884,1104,29-APR-2010,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
FU LU SHOU COMPLEX,149 Rochor Road  #B1-25 ,38,Strata,750000,19737,1834,28-APR-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-K16 ,9,Strata,165001,18333,1703,26-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
TEXTILE CENTRE,200 Jalan Sultan  #03-05 ,76,Strata,470000,6184,575,23-APR-2010,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-14 ,25,Strata,498000,19920,1851,23-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #02-06 ,132,Strata,1932000,14636,1360,23-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
HIGH STREET CENTRE,1 North Bridge Road  #01-48 ,29,Strata,350000,12069,1121,22-APR-2010,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-17 ,44,Strata,610000,13864,1288,21-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #02-56 ,158,Strata,3280000,20759,1929,20-APR-2010,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #03-30 ,29,Strata,480000,16552,1538,19-APR-2010,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
SIM LIM SQUARE,1 Rochor Canal Road  #03-13 ,51,Strata,868000,17020,1581,16-APR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #02-35 ,23,Strata,338000,14696,1365,16-APR-2010,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #B1-03/04 ,70,Strata,1320000,18857,1752,15-APR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-17 ,36,Strata,750000,20833,1935,14-APR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
HIGH STREET CENTRE,1 North Bridge Road  #01-46 ,47,Strata,480000,10213,949,13-APR-2010,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-31 ,45,Strata,538000,11956,1111,12-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
SIM LIM SQUARE,1 Rochor Canal Road  #02-42 ,90,Strata,1650000,18333,1703,12-APR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
FORTUNE CENTRE,190 Middle Road  #04-28 ,38,Strata,460000,12105,1125,09-APR-2010,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue  #02-18 ,36,Strata,363000,10083,937,09-APR-2010,Retail,99 Yrs From 01/05/1948,Resale,09,23,239924,Central Region,Museum
HIGH STREET CENTRE,1 North Bridge Road  #01-05/34/35 ,170,Strata,3500000,20588,1913,09-APR-2010,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
THE ARCADE,11 Collyer Quay  #01-24 ,35,Strata,2300000,65714,6105,08-APR-2010,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
GOLDEN MILE COMPLEX,5001 Beach Road  #03-48 ,18,Strata,240000,13333,1239,08-APR-2010,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #01-12 ,105,Strata,3050000,29048,2699,06-APR-2010,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
SIM LIM SQUARE,1 Rochor Canal Road  #04-02F/02G ,229,Strata,6800000,29694,2759,05-APR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
THOMSON PLAZA,301 Upper Thomson Road  #02-19 ,61,Strata,1380000,22623,2102,05-APR-2010,Retail,99 Yrs From 15/10/1976,Resale,20,57,574408,Central Region,Bishan
THE GOLDEN LANDMARK,390 Victoria Street  #02-37 ,26,Strata,405000,15577,1447,05-APR-2010,Retail,99 Yrs From 30/04/1981,Resale,07,18,188061,Central Region,Rochor
PARKLANE SHOPPING MALL,35 Selegie Road  #04-21 ,25,Strata,255000,10200,948,01-APR-2010,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-47 ,143,Strata,1640000,11469,1065,01-APR-2010,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
TEXTILE CENTRE,200 Jalan Sultan  #02-43 ,99,Strata,510000,5152,479,29-MAR-2010,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
FORTUNE CENTRE,190 Middle Road  #04-09 ,27,Strata,345000,12778,1187,27-MAR-2010,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
FORTUNE CENTRE,190 Middle Road  #02-18 ,50,Strata,730000,14600,1356,26-MAR-2010,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
PEOPLE'S PARK COMPLEX,1 Park Road  #03-41 ,16,Strata,415000,25938,2410,26-MAR-2010,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
GOLDEN MILE COMPLEX,5001 Beach Road  #03-62D ,13,Strata,155000,11923,1108,23-MAR-2010,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
FORTUNE CENTRE,190 Middle Road  #01-28 ,65,Strata,1950000,30000,2787,22-MAR-2010,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
MAYSPRINGS,2 Petir Road  #01-14 ,50,Strata,248000,4960,461,22-MAR-2010,Retail,99 Yrs From 01/12/1994,Resale,23,67,678265,West Region,Bukit Panjang
SIM LIM SQUARE,1 Rochor Canal Road  #06-04 ,51,Strata,735000,14412,1339,22-MAR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #B1-94 ,17,Strata,240000,14118,1312,19-MAR-2010,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
FU LU SHOU COMPLEX,149 Rochor Road  #B1-30 ,29,Strata,680000,23448,2178,19-MAR-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue  #05-31 ,43,Strata,411144,9561,888,18-MAR-2010,Retail,99 Yrs From 01/05/1948,Resale,09,23,239924,Central Region,Museum
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #02-24A ,114,Strata,1028000,9018,838,12-MAR-2010,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #04-10/11 ,79,Strata,760000,9620,894,08-MAR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
THOMSON PLAZA,301 Upper Thomson Road  #03-15 ,61,Strata,1470000,24098,2239,08-MAR-2010,Retail,99 Yrs From 15/10/1976,Resale,20,57,574408,Central Region,Bishan
SQUARE 2,10 Sinaran Drive  #09-23 ,75,Strata,1868000,24907,2314,05-MAR-2010,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
HIGH STREET CENTRE,1 North Bridge Road  #01-05/34/35 ,170,Strata,2750000,16176,1503,05-MAR-2010,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
SIM LIM SQUARE,1 Rochor Canal Road  #06-58/59 ,93,Strata,2360000,25376,2358,24-FEB-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #01-32 ,86,Strata,740800,8614,800,24-FEB-2010,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
FORTUNE CENTRE,190 Middle Road  #03-03 ,31,Strata,400000,12903,1199,23-FEB-2010,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
GSM BUILDING,141 Middle Road  #01-01 ,703,Strata,7188650,10226,950,23-FEB-2010,Retail,99 Yrs From 02/05/1978,Resale,07,18,188976,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #06-57 ,47,Strata,1034280,22006,2044,18-FEB-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
ORCHARD PLAZA,150 Orchard Road  #03-11 ,36,Strata,812000,22556,2095,18-FEB-2010,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
GOLDEN MILE COMPLEX,5001 Beach Road  #02-40 ,24,Strata,250000,10417,968,10-FEB-2010,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #02-24 ,490,Strata,3700000,7551,702,10-FEB-2010,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
PARKLANE SHOPPING MALL,35 Selegie Road  #04-15 ,45,Strata,360000,8000,743,10-FEB-2010,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
PEARLS CENTRE,100 Eu Tong Sen Street  #04-15 ,26,Strata,255000,9808,911,10-FEB-2010,Retail,99 Yrs From 15/10/1969,Resale,01,05,059812,Central Region,Outram
PARKLANE SHOPPING MALL,35 Selegie Road  #04-04/05 ,81,Strata,830000,10247,952,09-FEB-2010,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
PEOPLE'S PARK COMPLEX,1 Park Road  #02-66 ,29,Strata,330000,11379,1057,09-FEB-2010,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
PARKLANE SHOPPING MALL,35 Selegie Road  #03-19 ,37,Strata,483000,13054,1213,08-FEB-2010,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue  #02-26 ,22,Strata,220000,10000,929,08-FEB-2010,Retail,99 Yrs From 01/05/1948,Resale,09,23,239924,Central Region,Museum
PEOPLE'S PARK COMPLEX,1 Park Road  #01-83/84B/84D ,315,Strata,11870902,37685,3501,05-FEB-2010,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #01-84A/84C/84E ,359,Strata,13529095,37686,3501,05-FEB-2010,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
FU LU SHOU COMPLEX,149 Rochor Road  #02-19 ,40,Strata,861000,21525,2000,05-FEB-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
SULTAN PLAZA,100 Jalan Sultan  #01-08 ,107,Strata,1200000,11215,1042,01-FEB-2010,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #02-31 ,63,Strata,830000,13175,1224,29-JAN-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
SIM LIM SQUARE,1 Rochor Canal Road  #06-08 ,36,Strata,500000,13889,1290,25-JAN-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
FU LU SHOU COMPLEX,149 Rochor Road  #02-18 ,40,Strata,861000,21525,2000,21-JAN-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
CONCORDE SHOPPING CENTRE,317 Outram Road  #B1-15 ,19,Strata,175000,9211,856,21-JAN-2010,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
SIM LIM SQUARE,1 Rochor Canal Road  #03-51/74 ,75,Strata,2600000,34667,3221,20-JAN-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
ORCHARD PLAZA,150 Orchard Road  #04-28 ,22,Strata,450000,20455,1900,19-JAN-2010,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
ICB ENTERPRISE HOUSE,116 Middle Road  #01-01/02/03/#02-01 ,649,Strata,5500000,8475,787,19-JAN-2010,Retail,99 Yrs From 01/12/1974,Resale,07,18,188972,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #02-16 ,38,Strata,730000,19211,1785,05-JAN-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
RIVERVALE MALL,11 Rivervale Crescent ,10964,Strata,90204748,8227,764,01-JAN-2010,Retail,99 Yrs From 06/12/1997,Resale,19,54,545082,North East Region,Sengkang
BUKIT PANJANG PLAZA,1 Jelebu Road  #04-01/03/16/25 ETC ,13323,Strata,244240892,18332,1703,01-JAN-2010,Retail,99 Yrs From 01/12/1994,Resale,23,67,677743,West Region,Bukit Panjang
LOT ONE SHOPPERS' MALL,21 Choa Chu Kang Avenue 4 ,8400,Land,419842165,49979,4643,01-JAN-2010,Retail,99 Yrs From 01/12/1993,Resale,23,68,689812,West Region,Choa Chu Kang
SULTAN PLAZA,100 Jalan Sultan  #04-42 ,22,Strata,150000,6818,633,29-DEC-2009,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #03-02 ,60,Strata,700000,11667,1084,22-DEC-2009,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
PARKLANE SHOPPING MALL,35 Selegie Road  #04-12 ,41,Strata,355000,8659,804,21-DEC-2009,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
PEACE CENTRE/MANSIONS,1 Sophia Road  #01-34 ,48,Strata,900000,18750,1742,21-DEC-2009,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
ORCHARD PLAZA,150 Orchard Road  #02-06 ,32,Strata,790000,24688,2294,18-DEC-2009,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #01-09/10 ,73,Strata,1700000,23288,2163,18-DEC-2009,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
SIM LIM SQUARE,1 Rochor Canal Road  #04-34/35/59 ,83,Strata,5000000,60241,5597,16-DEC-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #04-26 ,20,Strata,720000,36000,3344,16-DEC-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
THE TROPICA,59 Tampines Avenue 1  #01-01/02 ,36,Strata,328000,9111,846,15-DEC-2009,Retail,99 Yrs From 04/12/1996,Resale,18,52,529775,East Region,Tampines
SIM LIM SQUARE,1 Rochor Canal Road  #04-55 ,47,Strata,2990000,63617,5910,11-DEC-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #02-01 ,35,Strata,600000,17143,1593,09-DEC-2009,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
FU LU SHOU COMPLEX,149 Rochor Road  #01-15 ,24,Strata,950000,39583,3677,07-DEC-2009,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #01-31 ,180,Strata,1300000,7222,671,03-DEC-2009,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
HOUGANG GREEN SHOPPING MALL,21 Hougang Street 51  #01-13 ,25,Strata,700000,28000,2601,01-DEC-2009,Retail,99 Yrs From 01/12/1994,Resale,19,53,538719,North East Region,Hougang
PEARLS CENTRE,100 Eu Tong Sen Street  #02-18 ,37,Strata,320000,8649,803,01-DEC-2009,Retail,99 Yrs From 15/10/1969,Resale,01,05,059812,Central Region,Outram
SIM LIM SQUARE,1 Rochor Canal Road  #04-54 ,40,Strata,2365000,59125,5493,30-NOV-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SULTAN PLAZA,100 Jalan Sultan  #04-13 ,30,Strata,275000,9167,852,25-NOV-2009,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #06-21 ,38,Strata,580000,15263,1418,24-NOV-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #B1-96 ,17,Strata,238000,14000,1301,23-NOV-2009,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #04-49 ,53,Strata,2800000,52830,4908,20-NOV-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #03-23 ,43,Strata,410000,9535,886,18-NOV-2009,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
HIGH STREET CENTRE,1 North Bridge Road  #B1-14/39 ,63,Strata,605000,9603,892,17-NOV-2009,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
THE GOLDEN LANDMARK,390 Victoria Street  #02-36 ,26,Strata,310000,11923,1108,16-NOV-2009,Retail,99 Yrs From 30/04/1981,Resale,07,18,188061,Central Region,Rochor
BURLINGTON SQUARE,175 Bencoolen Street  #01-53 ,21,Strata,780000,37143,3451,11-NOV-2009,Retail,99 Yrs From 10/06/1996,Resale,07,18,189649,Central Region,Rochor
SULTAN PLAZA,100 Jalan Sultan  #03-49 ,48,Strata,270000,5625,523,05-NOV-2009,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #02-10 ,50,Strata,620000,12400,1152,05-NOV-2009,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
ORCHARD PLAZA,150 Orchard Road  #02-23 ,23,Strata,475000,20652,1919,05-NOV-2009,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
FORTUNE CENTRE,190 Middle Road  #02-22 ,41,Strata,430000,10488,974,03-NOV-2009,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
FORTUNE CENTRE,190 Middle Road  #04-04 ,20,Strata,200000,10000,929,03-NOV-2009,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
SQUARE 2,10 Sinaran Drive  #09-24 ,71,Strata,1451600,20445,1899,02-NOV-2009,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
PEOPLE'S PARK COMPLEX,1 Park Road  #01-78F/78G ,18,Strata,900000,50000,4645,30-OCT-2009,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
THE BENCOOLEN,180 Bencoolen Street  #01-58 ,25,Strata,770000,30800,2861,30-OCT-2009,Retail,99 Yrs From 24/06/1995,Resale,07,18,189646,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #03-45 ,47,Strata,480000,10213,949,29-OCT-2009,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
THE GOLDEN LANDMARK,390 Victoria Street  #03-21 ,33,Strata,365000,11061,1028,28-OCT-2009,Retail,99 Yrs From 30/04/1981,Resale,07,18,188061,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #01-40 ,50,Strata,3750000,75000,6968,28-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #02-38 ,36,Strata,630000,17500,1626,28-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SUNSHINE PLAZA,91 Bencoolen Street  #01-58 ,32,Strata,600000,18750,1742,23-OCT-2009,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-49/30 ,62,Strata,2334000,37645,3497,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-53/54 ,92,Strata,3425000,37228,3459,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-73/74 ,93,Strata,3675000,39516,3671,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-71/78/41 ETC ,162,Strata,6849000,42278,3928,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-60/61 ,69,Strata,2868000,41565,3862,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-64/65 ,89,Strata,3744000,42067,3908,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-50/31 ,52,Strata,2262000,43500,4041,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-36/62/63 ,117,Strata,5154000,44051,4092,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #05-24/25/26/45 ,155,Strata,4689000,30252,2810,22-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
THE QUARTZ,71 Compassvale Bow  #02-39 ,49,Strata,488000,9959,925,15-OCT-2009,Retail,99 Yrs From 18/04/2005,New Sale,19,54,544994,North East Region,Sengkang
THE TROPICA,59 Tampines Avenue 1  #01-01/02 ,36,Strata,220000,6111,568,14-OCT-2009,Retail,99 Yrs From 04/12/1996,Resale,18,52,529775,East Region,Tampines
SULTAN PLAZA,100 Jalan Sultan  #03-53 ,51,Strata,300000,5882,546,12-OCT-2009,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
SUNSHINE PLAZA,91 Bencoolen Street  #01-46 ,22,Strata,410000,18636,1731,09-OCT-2009,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #03-02 ,37,Strata,950000,25676,2385,08-OCT-2009,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
PENINSULA EXCELSIOR HOTEL,5 Coleman Street  #02-16 ,45,Strata,485000,10778,1001,07-OCT-2009,Retail,99 Yrs From 17/08/1979,Resale,06,17,179805,Central Region,Downtown Core
